Interaction_ID,Customer_ID,Employee_ID,Branch_ID,Interaction_Date,Interaction_Channel,Interaction_Type,Issue_Severity,Resolution_Status,Resolution_Time_Hours,Customer_Satisfaction_Score,Interaction_Duration_Minutes
INT_000042,CUST_07571,EMP_0277,BR_043,16-02-2026,Internet Banking,Service Request,Medium,Resolved,1.8,5,48
INT_000043,CUST_02314,EMP_0433,BR_046,21-08-2025,Mobile App,Service Request,Low,Resolved,1.5,5,17
INT_000044,CUST_07854,EMP_0236,BR_016,07-04-2025,Mobile App,Query,Medium,Resolved,2.4,4,16
INT_000045,CUST_02410,EMP_0414,BR_045,09-06-2025,Email,Service Request,Medium,Resolved,2.6,5,19
INT_000046,CUST_01100,EMP_0193,BR_048,15-02-2024,Branch,Complaint,Low,Resolved,5.3,4,15
INT_000047,CUST_07011,EMP_0190,BR_012,04-08-2026,Mobile App,Complaint,Low,Pending,10.7,4,11
INT_000048,CUST_04080,EMP_0282,BR_039,15-03-2026,Branch,Query,Low,Pending,7.3,4,20
INT_000049,CUST_00154,EMP_0342,BR_009,02-09-2024,Internet Banking,Loan Enquiry,Medium,Resolved,10.6,5,18
INT_000050,CUST_09080,EMP_0271,BR_003,12-12-2025,Branch,Query,Low,Resolved,3,4,22
INT_000051,CUST_05584,EMP_0155,BR_022,03-01-2024,Email,Loan Enquiry,Medium,Resolved,1.7,4,29
INT_000052,CUST_05972,EMP_0155,BR_022,15-05-2026,Branch,Query,Low,Resolved,1.5,5,17
INT_000053,CUST_03801,EMP_0304,BR_031,11-08-2025,Branch,Query,Low,Resolved,7,5,5
INT_000054,CUST_03566,EMP_0469,BR_017,28-08-2024,Branch,Query,Low,Pending,6.8,5,19
INT_000055,CUST_01524,EMP_0500,BR_016,19-09-2025,Email,Sales,High,Resolved,1.4,5,13
INT_000056,CUST_00812,EMP_0429,BR_018,13-02-2025,Mobile App,Query,Low,Resolved,1.7,5,2
INT_000057,CUST_05197,EMP_0309,BR_049,02-07-2024,Branch,Complaint,Low,Pending,6.5,4,14
INT_000058,CUST_06639,EMP_0043,BR_008,17-11-2024,Mobile App,Sales,High,Pending,4,4,14
INT_000059,CUST_05666,EMP_0242,BR_004,24-03-2024,Mobile App,Sales,Medium,Escalated,13.3,5,5
INT_000060,CUST_09839,EMP_0151,BR_005,10-12-2024,Mobile App,Sales,Medium,Resolved,9.3,5,5
INT_000061,CUST_07260,EMP_0379,BR_008,29-01-2026,Internet Banking,Sales,Medium,Resolved,3.3,5,11
INT_000062,CUST_08608,EMP_0051,BR_018,25-05-2025,Internet Banking,Query,Low,Resolved,2.2,5,29
INT_000063,CUST_00266,EMP_0463,BR_008,13-02-2026,Mobile App,Service Request,Low,Resolved,4,4,20
INT_000064,CUST_00649,EMP_0241,BR_018,19-07-2024,Phone,Sales,Medium,Pending,8.3,4,21
INT_000065,CUST_01122,EMP_0256,BR_007,10-05-2025,Mobile App,Complaint,Low,Resolved,6.9,4,25
INT_000066,CUST_06594,EMP_0401,BR_003,24-04-2024,Mobile App,Complaint,Medium,Resolved,5.9,5,12
INT_000067,CUST_09116,EMP_0334,BR_027,24-01-2025,Mobile App,Complaint,Medium,Resolved,2,4,9
INT_000068,CUST_01978,EMP_0400,BR_043,05-04-2026,Branch,Service Request,Medium,Resolved,5.9,5,4
INT_000069,CUST_08706,EMP_0389,BR_042,22-06-2024,Internet Banking,Query,Medium,Resolved,3.9,5,7
INT_000070,CUST_02072,EMP_0411,BR_048,20-12-2025,Internet Banking,Sales,Low,Escalated,4.3,4,18
INT_000071,CUST_06794,EMP_0093,BR_024,16-07-2024,Internet Banking,Sales,Medium,Escalated,10,4,23
INT_000072,CUST_00514,EMP_0125,BR_026,29-07-2026,Mobile App,Query,Low,Resolved,2.1,5,29
INT_000073,CUST_03258,EMP_0161,BR_001,10-07-2026,Phone,Query,Low,Resolved,9.5,4,3
INT_000074,CUST_05178,EMP_0467,BR_041,17-01-2024,Branch,Loan Enquiry,Low,Resolved,7,4,9
INT_000075,CUST_05816,EMP_0351,BR_036,27-03-2026,Phone,Query,Medium,Resolved,2,5,18
INT_000076,CUST_03203,EMP_0471,BR_049,26-11-2024,Mobile App,Query,High,Resolved,2.9,5,32
INT_000077,CUST_04576,EMP_0364,BR_002,28-06-2025,Internet Banking,Service Request,Low,Escalated,4.8,5,10
INT_000078,CUST_00824,EMP_0147,BR_014,28-05-2026,Mobile App,Query,Medium,Resolved,0.7,4,39
INT_000079,CUST_03888,EMP_0252,BR_022,09-10-2024,Phone,Service Request,Medium,Escalated,5.5,4,37
INT_000080,CUST_03621,EMP_0204,BR_031,24-02-2025,Mobile App,Complaint,Medium,Resolved,10.6,4,2
INT_000081,CUST_00317,EMP_0405,BR_027,25-01-2024,Branch,Service Request,Low,Resolved,3.4,4,8
INT_000082,CUST_05472,EMP_0412,BR_023,26-06-2024,Internet Banking,Query,Low,Resolved,4.6,5,12
INT_000083,CUST_09647,EMP_0338,BR_047,13-07-2026,Mobile App,Complaint,Low,Pending,2.7,3,2
INT_000084,CUST_05365,EMP_0183,BR_031,24-07-2026,Phone,Complaint,Medium,Resolved,7.2,4,25
INT_000085,CUST_00447,EMP_0241,BR_018,08-03-2026,Branch,Service Request,Medium,Resolved,2.7,5,12
INT_000086,CUST_00679,EMP_0172,BR_012,09-01-2026,Branch,Sales,Low,Resolved,3,5,9
INT_000087,CUST_07839,EMP_0429,BR_018,20-03-2025,Email,Sales,Medium,Resolved,4.5,4,17
INT_000088,CUST_06207,EMP_0294,BR_026,21-03-2024,Branch,Service Request,Low,Resolved,5.7,5,16
INT_000089,CUST_06330,EMP_0005,BR_039,09-04-2024,Mobile App,Loan Enquiry,Low,Resolved,2.7,5,15
INT_000090,CUST_08376,EMP_0418,BR_030,23-02-2024,Mobile App,Service Request,Low,Resolved,4.6,5,10
INT_000091,CUST_01459,EMP_0237,BR_026,31-03-2025,Phone,Query,Low,Resolved,0.5,3,5
INT_000092,CUST_09927,EMP_0095,BR_023,16-12-2024,Phone,Query,Low,Resolved,8.4,4,3
INT_000093,CUST_06345,EMP_0448,BR_010,20-03-2024,Internet Banking,Complaint,Low,Resolved,3.7,5,16
INT_000094,CUST_09818,EMP_0413,BR_044,19-09-2025,Mobile App,Query,Medium,Resolved,6,4,23
INT_000095,CUST_05685,EMP_0166,BR_017,12-05-2025,Mobile App,Sales,Low,Resolved,10.4,5,17
INT_000096,CUST_08256,EMP_0401,BR_003,05-10-2024,Branch,Query,Low,Resolved,6.1,4,2
INT_000097,CUST_05475,EMP_0326,BR_028,19-02-2024,Branch,Query,Low,Pending,11.4,4,7
INT_000098,CUST_02339,EMP_0468,BR_040,24-03-2024,Phone,Query,Medium,Resolved,5.8,5,38
INT_000099,CUST_09122,EMP_0295,BR_001,28-02-2025,Email,Sales,Low,Resolved,3.1,5,16
INT_000100,CUST_04910,EMP_0088,BR_046,31-01-2026,Mobile App,Service Request,Low,Resolved,1.1,5,11
INT_000101,CUST_03062,EMP_0292,BR_034,23-10-2024,Mobile App,Query,Low,Resolved,8.7,5,11
INT_000102,CUST_08700,EMP_0342,BR_009,26-02-2025,Mobile App,Complaint,Medium,Pending,6.4,4,40
INT_000103,CUST_04431,EMP_0071,BR_021,02-06-2026,Mobile App,Sales,Medium,Pending,24.7,5,6
INT_000104,CUST_03097,EMP_0365,BR_028,28-12-2025,Branch,Service Request,High,Resolved,4.9,5,18
INT_000105,CUST_07717,EMP_0433,BR_046,18-06-2026,Internet Banking,Sales,Low,Pending,8.7,4,25
INT_000106,CUST_03600,EMP_0016,BR_029,28-08-2025,Branch,Sales,Low,Resolved,5.1,5,12
INT_000107,CUST_03636,EMP_0095,BR_023,24-05-2024,Phone,Sales,Low,Resolved,5.3,4,14
INT_000108,CUST_08703,EMP_0145,BR_023,06-01-2024,Phone,Complaint,Medium,Resolved,4.7,4,22
INT_000109,CUST_07410,EMP_0232,BR_012,02-09-2025,Branch,Query,High,Resolved,2.2,5,3
INT_000110,CUST_02178,EMP_0448,BR_010,26-03-2025,Mobile App,Loan Enquiry,Low,Resolved,4,5,9
INT_000111,CUST_00926,EMP_0325,BR_009,24-09-2025,Mobile App,Service Request,Low,Resolved,4.9,5,2
INT_000112,CUST_04318,EMP_0099,BR_034,13-03-2025,Email,Service Request,High,Resolved,5.2,5,27
INT_000113,CUST_04970,EMP_0037,BR_031,29-05-2024,Mobile App,Query,Low,Resolved,9.3,5,18
INT_000114,CUST_02131,EMP_0474,BR_045,13-11-2025,Branch,Service Request,Low,Resolved,1.3,4,23
INT_000115,CUST_09971,EMP_0094,BR_022,28-06-2026,Phone,Query,Low,Resolved,6.2,5,25
INT_000116,CUST_02842,EMP_0243,BR_020,04-07-2026,Branch,Query,Low,Resolved,1.1,5,22
INT_000117,CUST_01453,EMP_0458,BR_042,03-07-2024,Mobile App,Query,Low,Resolved,3.6,3,68
INT_000118,CUST_01124,EMP_0049,BR_044,29-01-2026,Phone,Query,Medium,Resolved,4.3,5,10
INT_000119,CUST_01105,EMP_0024,BR_024,16-05-2025,Email,Query,Medium,Pending,12.7,5,9
INT_000120,CUST_03075,EMP_0284,BR_017,03-05-2024,Branch,Query,Low,Resolved,3.7,5,9
INT_000121,CUST_01653,EMP_0136,BR_039,15-07-2025,Email,Query,Medium,Resolved,1.4,5,15
INT_000122,CUST_06641,EMP_0138,BR_015,23-12-2025,Mobile App,Service Request,Medium,Resolved,5.2,5,14
INT_000123,CUST_06490,EMP_0011,BR_036,19-11-2024,Phone,Query,Low,Resolved,3,5,26
INT_000124,CUST_01079,EMP_0392,BR_050,25-07-2026,Phone,Service Request,Medium,Resolved,4.5,4,9
INT_000125,CUST_08302,EMP_0020,BR_046,21-05-2024,Phone,Query,High,Resolved,1.3,4,37
INT_000126,CUST_07602,EMP_0038,BR_041,12-05-2026,Mobile App,Query,Low,Escalated,2.9,5,14
INT_000127,CUST_04089,EMP_0434,BR_007,20-08-2024,Phone,Service Request,Low,Resolved,5,5,13
INT_000128,CUST_03537,EMP_0104,BR_025,20-01-2024,Phone,Service Request,Medium,Resolved,3.8,4,18
INT_000129,CUST_01884,EMP_0022,BR_023,09-12-2025,Mobile App,Service Request,Medium,Resolved,2.9,5,12
INT_000130,CUST_04480,EMP_0465,BR_013,31-12-2024,Branch,Loan Enquiry,Low,Resolved,2.8,4,17
INT_000131,CUST_04664,EMP_0396,BR_007,24-02-2024,Phone,Service Request,Low,Resolved,6.1,5,37
INT_000132,CUST_04036,EMP_0007,BR_045,06-11-2024,Phone,Query,High,Resolved,9.5,4,19
INT_000133,CUST_01525,EMP_0275,BR_046,06-01-2026,Mobile App,Loan Enquiry,High,Pending,4.6,5,15
INT_000134,CUST_01186,EMP_0309,BR_049,25-05-2025,Branch,Complaint,High,Resolved,5.7,5,7
INT_000135,CUST_08491,EMP_0080,BR_043,17-05-2025,Branch,Sales,Low,Resolved,7.2,5,26
INT_000136,CUST_01497,EMP_0332,BR_049,25-07-2024,Internet Banking,Service Request,Low,Resolved,2.6,5,3
INT_000137,CUST_08647,EMP_0006,BR_012,27-06-2024,Internet Banking,Sales,Low,Escalated,5.7,5,38
INT_000138,CUST_06378,EMP_0336,BR_014,08-03-2024,Phone,Service Request,Medium,Resolved,1.5,4,3
INT_000139,CUST_06794,EMP_0044,BR_006,24-12-2025,Internet Banking,Complaint,Low,Resolved,5.4,4,5
INT_000140,CUST_03771,EMP_0168,BR_034,14-07-2024,Internet Banking,Sales,Medium,Escalated,14.1,5,33
INT_000141,CUST_01481,EMP_0424,BR_048,10-07-2026,Mobile App,Sales,Low,Pending,4.6,5,21
INT_000142,CUST_04323,EMP_0134,BR_006,19-10-2024,Email,Sales,Low,Resolved,3.9,4,3
INT_000143,CUST_06186,EMP_0229,BR_048,12-06-2024,Branch,Sales,High,Resolved,3.2,5,6
INT_000144,CUST_05003,EMP_0460,BR_019,15-04-2026,Mobile App,Sales,High,Resolved,10.1,4,11
INT_000145,CUST_08845,EMP_0381,BR_001,28-08-2024,Email,Query,Low,Resolved,9.3,5,24
INT_000146,CUST_01149,EMP_0444,BR_009,09-06-2025,Mobile App,Query,Low,Resolved,3.9,4,16
INT_000147,CUST_07289,EMP_0070,BR_026,16-11-2024,Branch,Loan Enquiry,Low,Escalated,5,5,20
INT_000148,CUST_05366,EMP_0278,BR_020,19-01-2024,Internet Banking,Complaint,Low,Resolved,5.9,4,27
INT_000149,CUST_06005,EMP_0422,BR_024,09-02-2024,Phone,Query,Low,Resolved,9.3,4,30
INT_000150,CUST_01744,EMP_0496,BR_035,10-06-2024,Branch,Query,Low,Resolved,3.8,5,39
INT_000151,CUST_06534,EMP_0106,BR_027,23-06-2026,Internet Banking,Complaint,Medium,Resolved,5.2,4,23
INT_000152,CUST_05245,EMP_0133,BR_029,23-09-2025,Internet Banking,Sales,Medium,Resolved,0.9,5,8
INT_000153,CUST_09740,EMP_0304,BR_031,01-08-2026,Branch,Service Request,Low,Resolved,1.3,5,44
INT_000154,CUST_06204,EMP_0271,BR_003,03-03-2025,Mobile App,Loan Enquiry,Low,Pending,13.5,5,8
INT_000155,CUST_05263,EMP_0325,BR_009,27-01-2024,Phone,Service Request,Medium,Pending,10,5,27
INT_000156,CUST_01938,EMP_0461,BR_050,18-10-2024,Mobile App,Query,Low,Resolved,2.1,5,3
INT_000157,CUST_01565,EMP_0195,BR_004,01-02-2026,Branch,Sales,Low,Resolved,0.9,4,37
INT_000158,CUST_04705,EMP_0114,BR_039,20-01-2024,Mobile App,Query,Low,Resolved,2.5,5,24
INT_000159,CUST_07014,EMP_0220,BR_001,20-02-2024,Email,Query,Medium,Resolved,2.2,5,2
INT_000160,CUST_01165,EMP_0204,BR_031,24-04-2025,Mobile App,Query,Low,Resolved,2.2,5,11
INT_000161,CUST_08947,EMP_0027,BR_021,12-10-2025,Mobile App,Sales,High,Pending,2.7,4,11
INT_000162,CUST_08519,EMP_0419,BR_003,24-05-2025,Internet Banking,Service Request,Low,Resolved,5.6,4,30
INT_000163,CUST_00118,EMP_0397,BR_013,22-01-2026,Mobile App,Service Request,Low,Resolved,3.8,5,4
INT_000164,CUST_07925,EMP_0476,BR_014,09-04-2025,Phone,Complaint,Low,Resolved,3.4,5,8
INT_000165,CUST_09313,EMP_0058,BR_030,13-01-2026,Mobile App,Sales,Medium,Resolved,0.4,4,33
INT_000166,CUST_06188,EMP_0001,BR_004,23-12-2024,Branch,Query,Low,Resolved,5.1,4,36
INT_000167,CUST_06839,EMP_0268,BR_016,05-05-2026,Phone,Query,Low,Escalated,18.9,4,25
INT_000168,CUST_01791,EMP_0131,BR_040,03-03-2024,Mobile App,Query,Medium,Resolved,4.3,4,13
INT_000169,CUST_05307,EMP_0242,BR_004,20-05-2024,Mobile App,Loan Enquiry,Low,Resolved,10.6,4,27
INT_000170,CUST_04510,EMP_0015,BR_014,22-03-2025,Phone,Service Request,Medium,Resolved,9,4,12
INT_000171,CUST_03043,EMP_0245,BR_029,29-07-2025,Internet Banking,Service Request,Low,Resolved,0.9,5,14
INT_000172,CUST_04885,EMP_0288,BR_002,26-11-2025,Phone,Service Request,Low,Resolved,6.1,5,14
INT_000173,CUST_00198,EMP_0414,BR_045,04-02-2024,Mobile App,Sales,Low,Resolved,4.6,5,12
INT_000174,CUST_02371,EMP_0091,BR_044,15-01-2024,Mobile App,Query,Low,Pending,6.8,5,12
INT_000175,CUST_03378,EMP_0423,BR_009,27-07-2026,Branch,Query,High,Resolved,5.6,3,3
INT_000176,CUST_01799,EMP_0320,BR_013,05-08-2024,Email,Query,Medium,Resolved,3,5,9
INT_000177,CUST_01539,EMP_0411,BR_048,04-09-2024,Branch,Sales,Low,Resolved,2.9,4,21
INT_000178,CUST_05449,EMP_0374,BR_039,15-07-2026,Email,Loan Enquiry,Medium,Resolved,7.1,5,41
INT_000179,CUST_09458,EMP_0425,BR_036,08-06-2025,Internet Banking,Query,Low,Resolved,0.6,5,29
INT_000180,CUST_05386,EMP_0109,BR_011,20-10-2025,Phone,Sales,Low,Resolved,6,4,45
INT_000181,CUST_07487,EMP_0307,BR_047,29-10-2024,Mobile App,Query,High,Resolved,8.3,3,6
INT_000182,CUST_03439,EMP_0271,BR_003,03-04-2024,Mobile App,Sales,Low,Resolved,10.9,5,10
INT_000183,CUST_09782,EMP_0440,BR_018,12-03-2024,Mobile App,Query,Medium,Resolved,4.1,3,23
INT_000184,CUST_03537,EMP_0039,BR_010,18-04-2026,Mobile App,Complaint,Low,Escalated,10.4,5,5
INT_000185,CUST_09397,EMP_0170,BR_042,12-08-2024,Internet Banking,Sales,Low,Pending,9.5,4,2
INT_000186,CUST_08684,EMP_0477,BR_048,30-05-2025,Phone,Sales,Low,Resolved,8.3,4,26
INT_000187,CUST_08404,EMP_0222,BR_011,16-01-2025,Mobile App,Service Request,Low,Resolved,5.2,5,15
INT_000188,CUST_09570,EMP_0340,BR_024,02-11-2024,Mobile App,Query,Low,Resolved,4.9,5,13
INT_000189,CUST_08710,EMP_0400,BR_043,01-12-2025,Branch,Complaint,Medium,Escalated,3.9,4,3
INT_000190,CUST_09309,EMP_0321,BR_025,05-04-2025,Email,Query,Low,Resolved,1.3,3,6
INT_000191,CUST_04973,EMP_0097,BR_036,14-02-2026,Branch,Query,Low,Resolved,2.4,5,18
INT_000192,CUST_02251,EMP_0406,BR_030,11-10-2025,Email,Sales,Low,Resolved,3.7,5,7
INT_000193,CUST_06624,EMP_0268,BR_016,31-03-2025,Mobile App,Complaint,Low,Resolved,4.6,5,60
INT_000194,CUST_04657,EMP_0412,BR_023,23-12-2025,Mobile App,Service Request,Low,Pending,13.3,5,12
INT_000195,CUST_00831,EMP_0157,BR_031,21-11-2024,Branch,Service Request,Medium,Resolved,5,5,15
INT_000196,CUST_08757,EMP_0123,BR_010,26-07-2025,Email,Query,Medium,Pending,6.1,4,67
INT_000197,CUST_00002,EMP_0204,BR_031,26-08-2024,Internet Banking,Sales,Low,Resolved,4.8,5,10
INT_000198,CUST_03091,EMP_0284,BR_017,03-02-2025,Internet Banking,Loan Enquiry,Medium,Pending,2.3,4,28
INT_000199,CUST_00293,EMP_0096,BR_002,06-12-2025,Internet Banking,Query,High,Resolved,1.1,4,8
INT_000200,CUST_03833,EMP_0151,BR_005,26-01-2026,Phone,Service Request,Medium,Resolved,2.9,5,13
INT_000201,CUST_00981,EMP_0247,BR_042,21-05-2026,Phone,Sales,Low,Pending,9.6,5,5
INT_000202,CUST_07482,EMP_0310,BR_050,24-12-2024,Branch,Loan Enquiry,Low,Resolved,0.3,5,10
INT_000203,CUST_06910,EMP_0470,BR_045,13-04-2026,Phone,Query,Medium,Resolved,2.9,4,16
INT_000204,CUST_00210,EMP_0148,BR_034,05-05-2024,Mobile App,Sales,Low,Resolved,4.1,4,39
INT_000205,CUST_01551,EMP_0048,BR_009,01-05-2024,Internet Banking,Sales,Low,Escalated,7,4,18
INT_000206,CUST_01394,EMP_0321,BR_025,09-02-2026,Mobile App,Query,Low,Resolved,4,5,8
INT_000207,CUST_07951,EMP_0060,BR_041,15-04-2025,Email,Query,Medium,Resolved,4,4,2
INT_000208,CUST_05948,EMP_0370,BR_020,04-03-2026,Branch,Query,Medium,Escalated,5.2,5,7
INT_000209,CUST_04964,EMP_0054,BR_027,21-10-2025,Email,Query,Low,Resolved,2.9,5,41
INT_000210,CUST_08893,EMP_0118,BR_016,08-05-2024,Phone,Loan Enquiry,Low,Resolved,7.1,4,5
INT_000211,CUST_02560,EMP_0065,BR_018,09-05-2026,Mobile App,Sales,Medium,Resolved,12.7,5,8
INT_000212,CUST_02803,EMP_0408,BR_023,19-03-2026,Branch,Sales,Low,Pending,9.1,4,17
INT_000213,CUST_07996,EMP_0353,BR_040,04-07-2025,Branch,Sales,Medium,Pending,4.2,5,3
INT_000214,CUST_00400,EMP_0091,BR_044,10-05-2024,Phone,Sales,Low,Resolved,3.9,5,27
INT_000215,CUST_07010,EMP_0086,BR_032,30-06-2026,Phone,Query,Medium,Resolved,3.8,5,6
INT_000216,CUST_05455,EMP_0189,BR_037,22-05-2025,Mobile App,Query,Low,Resolved,5.8,4,15
INT_000217,CUST_04722,EMP_0246,BR_032,19-02-2024,Phone,Service Request,Low,Resolved,2,4,4
INT_000218,CUST_00392,EMP_0035,BR_013,30-08-2024,Branch,Query,Medium,Pending,6,4,2
INT_000219,CUST_01693,EMP_0305,BR_006,24-02-2024,Email,Sales,Low,Escalated,1.3,5,11
INT_000220,CUST_03368,EMP_0139,BR_005,10-03-2025,Phone,Loan Enquiry,Low,Resolved,4,5,5
INT_000221,CUST_06427,EMP_0332,BR_049,03-09-2024,Mobile App,Service Request,Low,Resolved,3.5,5,10
INT_000222,CUST_02043,EMP_0395,BR_031,18-02-2024,Phone,Query,Low,Resolved,2.2,4,24
INT_000223,CUST_09996,EMP_0458,BR_042,28-03-2026,Mobile App,Query,Medium,Escalated,5.2,3,22
INT_000224,CUST_09299,EMP_0048,BR_009,15-03-2024,Branch,Complaint,Low,Resolved,2.8,4,10
INT_000225,CUST_07721,EMP_0181,BR_037,24-07-2026,Branch,Query,High,Resolved,1.3,5,17
INT_000226,CUST_06932,EMP_0038,BR_041,22-04-2026,Email,Query,High,Resolved,3.7,5,6
INT_000227,CUST_07714,EMP_0427,BR_015,11-02-2026,Branch,Query,Medium,Resolved,5.1,5,24
INT_000228,CUST_07204,EMP_0106,BR_027,05-08-2026,Email,Sales,Low,Resolved,3.2,4,27
INT_000229,CUST_04811,EMP_0487,BR_006,24-08-2025,Email,Loan Enquiry,Low,Resolved,7.6,4,11
INT_000230,CUST_01004,EMP_0475,BR_041,23-04-2024,Internet Banking,Complaint,Low,Pending,7.8,4,16
INT_000231,CUST_01695,EMP_0134,BR_006,11-03-2024,Email,Sales,Low,Resolved,4.1,4,17
INT_000232,CUST_08558,EMP_0171,BR_031,19-07-2024,Email,Loan Enquiry,Low,Resolved,6.1,4,6
INT_000233,CUST_09125,EMP_0036,BR_035,26-04-2025,Branch,Loan Enquiry,Medium,Escalated,3.9,4,11
INT_000234,CUST_04499,EMP_0482,BR_008,15-03-2025,Email,Sales,Medium,Resolved,7.2,4,18
INT_000235,CUST_07143,EMP_0297,BR_013,21-08-2025,Mobile App,Sales,Low,Resolved,6.7,4,21
INT_000236,CUST_07773,EMP_0241,BR_018,04-12-2024,Branch,Complaint,Low,Escalated,2.5,5,27
INT_000237,CUST_05884,EMP_0378,BR_033,26-05-2025,Internet Banking,Service Request,Medium,Resolved,2.4,4,16
INT_000238,CUST_00825,EMP_0172,BR_012,28-12-2025,Internet Banking,Service Request,Low,Resolved,2.8,5,17
INT_000239,CUST_00335,EMP_0410,BR_034,16-01-2024,Branch,Query,Low,Resolved,4.2,5,12
INT_000240,CUST_02050,EMP_0475,BR_041,11-07-2026,Phone,Service Request,Low,Resolved,3.9,5,8
INT_000241,CUST_02720,EMP_0238,BR_043,24-06-2025,Email,Service Request,Low,Resolved,1.1,4,6
